#,股票代號/名稱,類別,20260424,20260430,20260508,20260515,20260522,20260529,總增減,上週持有%
170,1325/恆大,塑膠,-0.02,0.18,0.65,0.18,0.14,0.17,1.30,47.42
171,3607/谷崧,電子零組件,0.47,-0.02,-0.30,-0.37,0.06,1.46,1.30,35.00
172,3356/奇偶,光電,0.50,-0.14,0.49,0.03,0.38,0.03,1.29,29.66
173,4927/泰鼎-KY,電子零組件,4.21,0.06,-4.03,-4.03,-0.92,6.00,1.29,33.64
174,6192/巨路,其他電子,0.48,0.04,0.38,0.88,-1.26,0.77,1.29,58.17
175,2392/正崴,電子零組件,-0.06,-0.02,0.35,-0.44,0.83,0.61,1.27,48.10
176,1531/高林股,電機,-0.01,0.90,0.31,-0.04,-0.04,0.14,1.26,63.97
177,2440/太空梭,電子零組件,-0.13,1.31,-0.41,0.02,-0.24,0.69,1.24,70.38
178,2390/云辰,其他電子,-0.08,0.21,0.03,-0.04,0.37,0.73,1.22,37.80
179,2613/中櫃,航運,-0.06,0.53,0.13,0.24,-0.29,0.67,1.22,56.19
180,3338/泰碩,電子零組件,4.25,-3.03,0.18,0.26,0.35,-0.79,1.22,29.90
181,2425/承啟,電腦週邊,0.13,0.12,0.03,0.71,0.44,-0.22,1.21,47.69
182,6657/華安,生技醫療業,0.10,0.57,-0.12,0.08,-0.04,0.62,1.21,36.89
183,9906/欣巴巴,營建,-0.08,0.13,0.15,0.42,0.07,0.51,1.20,78.52
184,2032/新鋼,鋼鐵,-0.29,0.00,0.13,0.23,0.05,1.07,1.19,57.76
185,1409/新纖,紡織,-0.90,0.09,-0.36,0.47,0.11,1.78,1.19,68.03
186,2881/富邦金,金融,-0.04,0.11,0.31,0.28,0.10,0.42,1.18,86.09
187,2385/群光,電子零組件,0.03,-0.36,0.90,0.07,0.01,0.52,1.17,78.68
188,2431/聯昌,電子零組件,0.06,-0.03,-0.01,0.12,0.10,0.91,1.15,42.07
189,1342/八貫,其他,0.64,-0.12,0.10,0.08,-0.01,0.46,1.15,56.21
190,4552/力達-KY,電機,-0.01,-0.24,0.47,0.33,0.23,0.37,1.15,49.62
191,3035/智原,半導體,3.26,-1.55,0.11,0.67,2.91,-4.26,1.14,28.95
